NAME,ADDRESS,LATITUDE,LONGITUDE
CROCKETT MEDICAL CENTER,1100 EAST LOOP 304,31.32360364,-95.4388993059999
CENTRAL LOUISIANA STATE HOSPITAL,242 W SHAMROCK AVE,31.3273789420001,-92.4401351129999
REEVES MEMORIAL MEDICAL CENTER,409 1ST ST,32.8239916700001,-92.656648681
SERENITY SPRINGS SPECIALTY HOSPITAL,309 N MAIN ST,32.776127934,-92.4056258479999
RIVERBRIDGE SPECIALTY HOSPITAL,209 FRONT ST.,31.5611748630001,-91.4260669829999
CITIZENS MEDICAL CENTER,7939 HIGHWAY 165,32.0773298010001,-92.094448206
BROWN MEMORIAL CONVALESCENT CENTER,545 COOK STREET,34.2832503650001,-83.118972365
COLLEGE MEDICAL CENTER,2776 PACIFIC AVENUE,33.8070928700001,-118.193389929
KAISER FOUNDATION HOSPITAL - SAN LEANDRO,2500 MERCED STREET,37.706406198,-122.164654518
KINDRED HOSPITAL PARAMOUNT,16453 SOUTH COLORADO AVENUE,33.8846318610001,-118.162267066
DEPARTMENT OF STATE HOSPITAL-METROPOLITAN,11401 BLOOMFIELD AVENUE,33.928031349,-118.067989672
PINCKNEYVILLE COMMUNITY HOSPITAL,5383 STATE ROUTE 154,38.084846,-89.3491079999999
ST JOSEPH'S HOSPITAL SAVANNAH,11705 MERCY BOULEVARD,31.985430321,-81.154556369
UPSON REGIONAL MEDICAL CENTER,801 W GORDON STREET,32.886297701,-84.3365069879999
PHOEBE SUMTER MEDICAL CENTER,126 HIGHWAY 280 W,32.0669623380001,-84.2560501999999
ROOSEVELT WARM SPRINGS LTAC HOSPITAL,6135 ROOSEVELT HIGHWAY,32.887980741,-84.6923449
SOUTHEASTERN REGIONAL MEDICAL CENTER,600 CELEBRATE LIFE PKWY,33.3848346460001,-84.757746692
DOCTORS CENTER HOSPITAL SANFERNANDO DE CAROLINA,"CALLE FERNANDEZ JUNCOS, EDIFICIO JESUS T. PINEIRO",18.3804430000001,-65.95579
BROWN COUNTY COMMUNITY TREATMENT CTR,3150 GERSHWIN DRIVE,44.522712261,-87.924827084
WHEATON FRANCISCAN WI HEART SPINE AND ORTHO,10000 WEST BLUEMOUND ROAD,43.0358121520001,-88.037265823
HOSPITAL PSIQUIATRICO DE NINOS Y ADOLESCENTES,"100 AVE LAUREL 100, URB. SANTA JUANITA",18.3676556610001,-66.154391259
COMPASS BEHAVIORAL CENTER OF ALEXANDRIA,6410 MASONIC DRIVE,31.252191558,-92.481987814
OCSHNER ST. ANNE GENERAL HOSPITAL,4608 HIGHWAY 1,29.7026714240001,-90.565253898
FELICIANA FORENSIC FACILITY,4502 HWY 951,30.832635688,-91.210660488
UNITED MEDICAL HEALTHWEST-NEW ORLEANS,3201 WALL BOULEVARD,29.865979474,-90.03069185
RIPON MEDICAL CENTER,845 PARKSIDE ST,43.8343760920001,-88.817751529
VA MEDICAL CENTER - PROVIDENCE,830 CHALKSTONE AVE,41.8321390840001,-71.4331495449999
TOMAH VA MEDICAL CENTER,500 E VETERANS ST,44.00308068,-90.493319014
ASCENSION GOOD SAMARITAN HOSPITAL,601 S CENTER AVE,45.1756325370001,-89.681831276
RESTPADD PSYCHIATRIC HEALTH FACILITY,2750 EUREKA WAY,40.586595392,-122.411974107
THE CHAMPION CENTER,303 SOUTH C STREET,34.6353716090001,-120.452188325
STEWART WEBSTER HOSPITAL,580 ALSTON STREET,32.08616827,-84.660699774
KAISER FOUNDATION HOSPITAL - ONTARIO,2295 S. VINEYARD AVENUE,34.0320795600001,-117.60859933
LOMA LINDA UNIV. MED. CENTER EAST CAMPUS HOSPITAL,25333 BARTON ROAD,34.047305635,-117.251636776
ST. BERNARDINE MEDICAL CENTER,2101 NORTH WATERMAN AVENUE,34.1346723570001,-117.277019975
KAISER FOUNDATION HOSPITAL - SAN DIEGO - ZION,4647 ZION AVENUE,32.7915625750001,-117.095159549
SCRIPPS GREEN HOSPITAL,10666 NORTH TORREY PINES ROAD,32.896858901,-117.24287107
SCRIPPS MEMORIAL HOSPITAL - ENCINITAS,354 SANTA FE DRIVE,33.0373447760001,-117.284183383
SHARP MARY BIRCH HOSPITAL FOR WOMEN AND NEWBORNS,3003 HEALTH CENTER DRIVE,32.7982957780001,-117.154977819
UC SAN DIEGO HEALTH HILLCREST - HILLCREST MEDICAL CENTER,200 WEST ARBOR DRIVE,32.754770233,-117.165731384
CALIFORNIA PACIFIC MED CTR-CALIFORNIA WEST,3700 CALIFORNIA STREET,37.786509197,-122.456030633
CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,2333 BUCHANAN STREET,37.7907045380001,-122.431294533
"ST. MARY'S MEDICAL CENTER, SAN FRANCISCO",450 STANYAN STREET,37.77408876,-122.453751642
KAISER FOUNDATION HOSPITAL - SANTA ROSA,401 BICENTENNIAL WAY,38.471793006,-122.72706436
KAISER FOUNDATION HOSPITAL & REHAB CENTER - VALLEJO,975 SERENO DRIVE,38.12690208,-122.248377304
WOODLAND MEMORIAL HOSPITAL,1325 COTTONWOOD STREET,38.663925024,-121.792145249
ALTA BATES SUMMIT MEDICAL CENTER - SUMMIT CAMPUS,3100 SUMMIT STREET,37.8201396110001,-122.26400415
SAN LEANDRO HOSPITAL,13855 EAST 14TH STREET,37.712288347,-122.143493689
ST. ROSE HOSPITAL,27200 CALAROGA AVENUE,37.6334419930001,-122.087912534
ST. JOSEPH'S BEHAVIORAL HEALTH CENTER,2510 NORTH CALIFORNIA STREET,37.9765963,-121.291070926
ST. JOSEPH'S MEDICAL CENTER OF STOCKTON,1800 NORTH CALIFORNIA STREET,37.970467188,-121.288182762
EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL,250 SOUTH GRAND AVENUE,34.132654576,-117.871259716
GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER,1420 SOUTH CENTRAL AVENUE,34.128165628,-118.256643169
KAISER FOUNDATION HOSPITAL - LOS ANGELES,4867 SUNSET BOULEVARD,34.0985736490001,-118.294175331
KAISER FOUNDATION HOSPITAL - PANORAMA CITY,13652 CANTARA STREET,34.2185641940001,-118.430219294
PROVIDENCE CEDARS-SINAI TARZANA MEDICAL CENTER,18321 CLARK STREET,34.170393216,-118.531904059
SHRINERS HOSPITAL FOR CHILDREN - L.A.,3160 GENEVA STREET,34.067204777,-118.286392079
GARDENS REGIONAL HOSPITAL AND MEDICAL CENTER,21530 SOUTH PIONEER BOULEVARD,33.833640007,-118.079677951
ADVENTIST HEALTH CLEARLAKE,15630 18TH AVE,38.935618855,-122.620144532
VALLEY CHILDREN'S HOSPITAL,9300 VALLEY CHILDREN'S PLACE,36.8840478340001,-119.800242412
EISENHOWER MEDICAL CENTER,39000 BOB HOPE DR,33.7633520680001,-116.406241091
GOOD SAMARITAN HOSPITAL-SAN JOSE,2425 SAMARITAN DRIVE,37.252078736,-121.946576875
KAISER FOUNDATION HOSPITAL - SANTA CLARA,700 LAWRENCE EXPRESSWAY,37.3354013750001,-121.998873047
LUCILE PACKARD CHILDREN'S HOSPITAL STANFORD,725 WELCH ROAD,37.436004575,-122.175390036
KAISER FOUNDATION HOSPITAL - REDWOOD CITY,1100 VETERANS BOULEVARD,37.488847836,-122.223390131
JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS,2540 EAST STREET,37.9830895790001,-122.033496796
SUTTER DELTA MEDICAL CENTER,3901 LONE TREE WAY,37.9822344500001,-121.802978505
KAISER FOUNDATION HOSPITAL - SACRAMENTO,2025 MORSE AVENUE,38.601797751,-121.393144026
SIERRA NEVADA MEMORIAL HOSPITAL,155 GLASSON WAY,39.228016294,-121.047499779
LA PALMA INTERCOMMUNITY HOSPITAL,7901 WALKER STREET,33.8475141810001,-118.038302332
SADDLEBACK MEMORIAL MEDICAL CENTER - SAN CLEMENTE,654 CAMINO DE LOS MARES,33.457065243,-117.650183918
FREMONT MEDICAL CENTER,970 PLUMAS STREET,39.143106319,-121.618012022
PIEDMONT MOUNTAINSIDE HOSPITAL,1266 EAST CHURCH STREET,34.458248680000104,-84.412912891
ST MARY'S HOSPITAL,1230 BAXTER STREET,33.9472213170001,-83.4052524589999
RIDGEVIEW INSTITUTE,3995 SOUTH COBB DRIVE SE,33.8564432910001,-84.51105483
WESTERLY HOSPITAL,25 WELLS ST,41.3621890750001,-71.825303241
SSM HEALTH ST MARY'S HOSPITAL - MADISON,700 SOUTH PARK ST,43.0593384640001,-89.401429215
AURORA PSYCHIATRIC HOSPITAL,1220 DEWEY AVE,43.046765098,-88.007716433
THEDACARE MEDICAL CENTER BERLIN,225 MEMORIAL DRIVE,43.9784771540001,-88.94122636
MERCY HOSPITAL NORTHWEST ARKANSAS,2710 RIFE MEDICAL LANE,36.3089928530001,-94.18297802
ST CROIX REGIONAL MEDICAL CENTER,235 STATE STREET,45.4090324310001,-92.642578117
WESTFIELDS HOSPITAL AND CLINIC,535 HOSPITAL RD,45.1177607480001,-92.555500378
ST NICHOLAS HOSPITAL,3100 SUPERIOR AVE,43.7623479010001,-87.747537955
VERNON MEMORIAL HOSPITAL,507 SOUTH MAIN ST,43.551673973,-90.888391278
PIH HEALTH HOSPITAL - DOWNEY,11500 BROOKSHIRE AVENUE,33.9343517980001,-118.13090396
PROVIDENCE LITTLE COMPANY OF MARY TRANSITIONAL CARE CENTER,4320 MARICOPA STREET,33.8393481160001,-118.359721519
LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL,11234 ANDERSON STREET,34.050130832,-117.264094455
ASCENSION NE WISCONSIN MERCY CAMPUS,500 S OAKWOOD RD,44.0124207170001,-88.601045493
MEDSTAR- GEORGETOWN UNIVERSITY HOSPITAL,"3800 RESERVOIR ROAD, NW",38.9119585080001,-77.0752545729999
ADVENTHEALTH DADE CITY,13100 FORT KING RD,28.3479628600001,-82.2007200799999
DELRAY MEDICAL CENTER,5352 LINTON BLVD,26.4371928410001,-80.127787747
POINCIANA MEDICAL CENTER,325 CYPRESS PKWY,28.144780763,-81.476687855
ARBOUR FULLER HOSPITAL,200 MAY STREET,41.9240838480001,-71.3611225619999
ARBOUR HUMAN RESOURCE INSTITUTE,227 BABCOCK STREET,42.3507795100001,-71.121242281
ASCENSION ST VINCENT'S CLAY COUNTY,1670 ST. VINCENT'S WAY,30.108762428,-81.832688692
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF OCALA,2275 SW 22ND LANE,29.165875541,-82.1623349449999
"NATCHAUG HOSPITAL, INC.",189 STORRS RD,41.7411039190001,-72.198011482
ENCOMPASS HEALTH REHAB HOSPITAL AN AFFILIATE OF MARTIN HEALTH,5850 SE COMMUNITY DR,27.133437293,-80.222455815
SHRINERS' HOSPITAL FOR CHILDREN,51 BLOSSOM ST,42.3630925480001,-71.066301879
SPAULDING REHABILITATION HOSPITAL,300 FIRST AVENUE,42.3785090760001,-71.049055546
DR JOHN C CORRIGAN MENTAL HEALTH CENTER,49 HILLSIDE STREET,41.707486913,-71.145714465
BAY RIDGE HOSPITAL BEVERLY,60 GRANITE STREET,42.471620106,-70.956760931
ENCOMPASS HEALTH REHAB HOSPITAL OF WESTERN MASS,222 STATE STREET,42.155775937,-72.472077338
T J HEALTH COLUMBIA,901 WESTLAKE DRIVE,37.0966415730001,-85.29454565
DECATUR COUNTY HOSPITAL,1405 NORTHWEST CHURCH STREET,40.750934665,-93.746940772
ANDERSON COUNTY HOSPITAL,421 SOUTH MAPLE STREET,38.2797210620001,-95.251773234
KEARNY COUNTY HOSPITAL,500 THORPE STREET,37.9465932690001,-101.251929912
OTTAWA COUNTY HEALTH CENTER,215 E 8TH STREET,39.1293319640001,-97.7039442509999
BETH ISRAEL DEACONESS HOSPITAL - NEEDHAM,148 CHESTNUT STREET,42.2771000000001,-71.2368999999999
VIBRA HOSPITAL OF SOUTHEASTERN MASSACHUSETTS,4499 ACUSHNET AVENUE,41.740725232,-70.945753607
NORWOOD HOSPITAL,800 WASHINGTON ROAD,42.1890000000001,-71.2021
SPAULDING REHABILITATION HOSPITAL CAPE COD,311 SERVICE ROAD,41.7329844970001,-70.4681028369999
CAMBRIDGE HEALTH ALLIANCE - SOMERVILLE CAMPUS,230 HIGHLAND AVENUE,42.39,-71.1093999999999
SHRINERS' HOSPITAL FOR CHILDREN,516 CAREW ST,42.121315027,-72.59237295
MERCY HOSPITAL FORT SMITH,7301 ROGERS AVENUE,35.355865991,-94.352054967
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF FORT SMITH,1401 SOUTH J STREET,35.3739403050001,-94.4187544819999
UNITY HEALTH WHITE COUNTY MEDICAL CENTER,3214 EAST RACE AVENUE,35.2518860440001,-91.697001131
BAPTIST HEALTH MEDICAL CENTER - ARKADELPHIA,3050 TWIN RIVERS DRIVE,34.1229135660001,-93.088824163
MERCY HOSPITAL BERRYVILLE,214 CARTER STREET,36.359062103,-93.551825772
EUREKA SPRINGS HOSPITAL,24 NORRIS STREET,36.400163789,-93.744235921
BRADLEY COUNTY MEDICAL CENTER,404 SOUTH BRADLEY STREET,33.6103641340001,-92.059254885
ST. BERNARDS FIVE RIVERS MEDICAL CENTER,2801 MEDICAL CENTER DRIVE,36.2897602730001,-90.99738763
DALLAS COUNTY MEDICAL CENTER,201 NORTH CLIFTON STREET,33.81085539,-92.425587644
CRITTENDEN HOSPITAL ASSOCIATION,200 WEST TYLER AVENUE,35.1431102350001,-90.1890985109999
OUACHITA COUNTY MEDICAL CENTER,638 CALIFORNIA AVENUE,33.5758211300001,-92.8367393299999
NORTH ARKANSAS REGIONAL MEDICAL CENTER,620 NORTH MAIN STREET,36.2365313550001,-93.1091393739999
STONE COUNTY MEDICAL CENTER,"2106 EAST MAIN STREET, HIGHWAY 14 EAST",35.856583126,-92.0828645349999
PIGGOTT COMMUNITY HOSPITAL,1206 GORDON DUCKWORTH DRIVE,36.390119473,-90.20483796
BAPTIST HEALTH MEDICAL CENTER - HEBER SPRINGS,1800 BYPASS ROAD,35.504501126,-91.9979984999999
CHI ST. VINCENT MORRILTON,4 HOSPITAL DRIVE,35.168014912,-92.721351317
UAMS MEDICAL CENTER,4301 WEST MARKHAM STREET,34.7490251460001,-92.320137314
BAPTIST HEALTH MEDICAL CENTER - NORTH LITTLE ROCK,3333 SPRINGHILL DRIVE,34.7836548870001,-92.223409163
UNITED METHODIST BEHAVIORAL HOSPITAL,1601 MURPHY DRIVE,34.8764356660001,-92.394413249
LEVI HOSPITAL,300 PROSPECT AVENUE,34.5098970650001,-93.057577489
HOT SPRINGS REHABILITATION CENTER,105 RESERVE STREET,34.5121250130001,-93.052607872
CHI ST VINCENT HOSPITAL HOT SPRINGS,300 WERNER STREET,34.46802567,-93.066270414
BAPTIST HEALTH MEDICAL CENTER - HOT SPRING COUNTY,1001 SCHNEIDER DRIVE,34.358774038,-92.785888401
ARKANSAS DEPT. OF CORRECTION-DIAGNOSTIC UNIT,7500 CORRECTIONS CIRCLE,34.2221914250001,-92.082686048
JEFFERSON REGIONAL MEDICAL CENTER,1600 WEST 40TH AVENUE,34.1877346910001,-92.017680195
ENCOMPASS HEALTH REHABILITATION HOSPITAL-A PARTNER OF WASHINGTON REGIONAL,153 EAST MONTE PAINTER DRIVE,36.109099384,-94.154845038
MEMORIAL HEALTH UNIVERSITY MEDICAL CENTER,4700 WATERS AVENUE,32.030530877,-81.088862423
VANTAGE POINT OF NORTHWEST ARKANSAS,4253 CROSSOVER ROAD,36.1278907560001,-94.119851426
NORTHWEST MEDICAL CENTER - WILLOW CREEK WOMEN'S HOSPITAL,4301 GREATHOUSE SPRINGS ROAD,36.1355102700001,-94.1862192249999
ASCENSION NE WISCONSIN - ST ELIZABETH CAMPUS,1506 S ONEIDA ST,44.2482512390001,-88.402509675
MENA REGIONAL HEALTH SYSTEM,311 NORTH MORROW STREET,34.589053601,-94.221631243
MERCY HOSPITAL BOONEVILLE,880 WEST MAIN STREET,35.1403219220001,-93.9351706319999
MERCY HOSPITAL PARIS,500 EAST ACADEMY,35.289293339,-93.724878549
CROSSRIDGE COMMUNITY HOSPITAL,310 SOUTH FALLS BOULEVARD,35.219557917,-90.7866405359999
BAPTIST HEALTH REHABILITATION INSTITUTE,9601 BAPTIST HEALTH DRIVE,34.74429608,-92.381816086
ASCENSION SACRED HEART REHABILITATION HOSPITAL,"2301 N LAKE DRIVE, 8TH FLOOR",43.0614554430001,-87.880384379
SANTA CRUZ VALLEY HOSPITAL,4455 SOUTH I-19 FRONTAGE RD,31.8065711130001,-111.010018508
BAPTIST HEALTH MEDICAL CENTER-STUTTGART,1703 NORTH BUERKLE ROAD,34.5175108030001,-91.558299542
CASEY COUNTY HOSPITAL,187 WOLFORD AVENUE,37.3177168120001,-84.933171913
MARCUM AND WALLACE MEMORIAL HOSPITAL,60 MERCY COURT,37.706197098000104,-83.977277144
HIGHLANDS REGIONAL MEDICAL CENTER,5000 KENTUCKY ROUTE 321,37.729010056,-82.767320076
NORTON WOMEN'S AND CHILDREN'S HOSPITAL,4001 DUTCHMANS LANE,38.235330086,-85.632936927999907
UOFL HEALTH - MARY AND ELIZABETH HOSPITAL,1850 BLUEGRASS AVENUE,38.178264384,-85.793916414
THE BROOK - DUPONT,1405 BROWNS LANE,38.235696632,-85.6273409469999
BAPTIST HEALTH LA GRANGE,1025 NEW MOODY LANE,38.394890194,-85.3760651539999
ADCARE HOSPITAL OF WORCESTER INC,107 LINCOLN STREET,42.2764120840001,-71.794919787
EDITH NOURSE ROGERS MEMORIAL VETERANS HOSPITAL,200 SPRINGS ROAD,42.5047000000001,-71.2744
AMESBURY HEALTH CENTER,24 MORRILL PLACE,42.8484143950001,-70.933380246
BETH ISRAEL DEACONESS MEDICAL CENTER - WEST CAMPUS,ONE DEACONESS RD,42.3379,-71.1092
"ARBOUR HOSPITAL, THE",49 ROBINWOOD AVENUE,42.3158184070001,-71.11227314
BEVERLY HOSPITAL ADDISON GILBERT CAMPUS,298 WASHINGTON STREET,42.6255,-70.6806
VIBRA HOSPITAL OF WESTERN MASS CENTRAL CAMPUS,111 HUNTOON MEMORIAL HIGHWAY,42.201899283,-71.8988273429999
WORCESTER RECOVERY CENTER AND HOSPITAL,309 BELMONT STREET,42.279667187,-71.769066943
HOULTON REGIONAL HOSPITAL,20 HARTFORD STREET,46.1338462430001,-67.843623468
NORTHERN LIGHT INLAND HOSPITAL,200 KENNEDY MEMORIAL DRIVE,44.541826482,-69.661491065
MAINEGENERAL MEDICAL CENTER,6 EAST CHESTNUT STREET,44.3131197610001,-69.7684343719999
MAINEGENERAL MEDICAL CENTER-SETON,30 CHASE AVENUE,44.549192727,-69.658673563
SAINT ANDREWS HOSPITAL AND HEALTHCARE CENTER,6 SAINT ANDREWS LANE,43.850343927,-69.6387693039999
MIDMICHIGAN MEDICAL CENTER-GLADWIN,515 QUARTER STREET,43.975943671,-84.493887563
HELEN NEWBERRY JOY HOSPITAL,502 W HARRIE ST,46.3531800920001,-85.515653738
MUNISING MEMORIAL HOSPITAL,1500 SAND POINT RD,46.4252710700001,-86.625185297
BOURNEWOOD HOSPITAL,300 SOUTH STREET,42.298318572,-71.1492856839999
SAINT JOSEPH MERCY LIVINGSTON HOSPITAL,620 BYRON RD,42.6155875640001,-83.940990396
HILLSDALE HOSPITAL,168 S HOWELL STREET,41.9117386880001,-84.633003534
DMC SURGERY HOSPITAL,30671 STEPHENSON HIGHWAY,42.517887537,-83.120107267
LAKELAND HOSPITAL WATERVLIET,400 MEDICAL PARK DR,42.1848804640001,-86.249925827
MCLAREN CENTRAL MICHIGAN,1221 SOUTH DRIVE,43.5991224840001,-84.7614128609999
SPECTRUM HEALTH LUDINGTON HOSPITAL,ONE N ATKINSON DRIVE,43.958147941,-86.430409384
BRONSON LAKEVIEW HOSPITAL,408 HAZEN STREET,42.221294361,-85.897070061
DECKERVILLE COMMUNITY HOSPITAL,3559 PINE ST,43.5281192100001,-82.734249152
HENRY FORD HOSPITAL,2799 W GRAND BLVD,42.3676867830001,-83.08472312
MAYO CLINIC ALBERT LEA AUSTIN,404 WEST FOUNTAIN STREET,43.6523606970001,-93.372752304
MAYO CLINIC HEALTH SYS CF,32021 COUNTY 24 BOULEVARD,44.486164639,-92.903202301
MAYO CLINIC HEALTH SYSTEM,800 MEDICAL CENTER DRIVE,43.6388014610001,-94.450436999
MAYO CLINIC HEALTH SYSTEM S F,625 JACKSON ST N,44.2466191440001,-94.971083614
HARRY S. TRUMAN MEMORIAL VETERANS HOSPITAL,800 HOSPITAL DR,38.9366672620001,-92.3290578519999
VIBRA HOSPITAL OF CENTRAL DAKOTAS,1000 18TH ST NW,46.841869301,-100.907697713
JACOBSON MEMORIAL HOSPITAL & CARE CENTER,601 EAST ST N,46.407325814,-101.841463455
COMMUNITY HOSPITAL OF ANDERSON AND MADISON COUNTY,1515 N MADISON AVE,40.130645588,-85.693209184
MEMORIAL HOSPITAL OF SOUTH BEND,615 N MICHIGAN ST,41.684055286,-86.25157885
PAM SPECIALTY HOSPITAL OF LAS VEGAS LLC,2500 NORTH TENAYA,36.205530766,-115.250356365
DESERT SPRINGS HOSPITAL MEDICAL CENTER,2075 EAST FLAMINGO ROAD,36.113959578,-115.124505177
EASTERN REGIONAL MEDICAL CENTER,1331 EAST WYOMING AVENUE,40.018812978,-75.099464048
THOMAS JEFFERSON UNIVERSITY HOSPITAL,111 SOUTH 11TH STREET,39.9497083750001,-75.157946045
PENN PRESBYTERIAN MEDICAL CENTER,51 NORTH 39TH STREET,39.9588724830001,-75.199263683
ST JOSEPHS HOSPITAL,16TH STREET & GIRARD AVENUE,39.9714860890001,-75.1631901549999
VA MEDICAL CENTER - PHILADELPHIA,UNIVERSITY & WOODLAND AVENUES,39.94788477,-75.2000750889999
GEISINGER MEDICAL CENTER,100 NORTH ACADEMY AVENUE,40.968144964,-76.6052561079999
NORTHSIDE HOSPITAL - CHEROKEE,450 NORTHSIDE CHEROKEE BOULEVARD,34.2292380000001,-84.466259
"SOUTHWELL MEDICAL, A CAMPUS OF TRMC",260 MJ TAYLOR ROAD,31.108198934,-83.427372852
NORTHERN MONTANA HOSPITAL,30 13TH ST,48.538077306,-109.685817755
MUSC MEDICAL CENTER,169 ASHLEY AVE,32.785882041,-79.947921358
VERITAS COLLABORATIVE GEORGIA,41 PERIMETER CENTER EAST,33.924247302,-84.33106507
PAGE MEMORIAL HOSPITAL,200 MEMORIAL DRIVE,38.6632500000001,-78.468518
ROBINSON MEMORIAL HOSPITAL,6847 N CHESTNUT,41.1760577540001,-81.2490172989999
DELL CHILDRENS MEDICAL CENTER,4900 MUELLER BLVD,30.303110831,-97.707022459
COOK CHILDREN'S MEDICAL CENTER,801 SEVENTH AVENUE,32.737071728,-97.341405043
ARBOR HEALTH MORTON GENERAL HOSPITAL,521 ADAMS ST,46.55567481,-122.280354393
"INDIANA SPINE HOSPITAL, LLC",13219 N MERIDIAN STREET,39.9804199480001,-86.1534726249999
ASCENSION SE WISCONSIN HOSPITAL - ELMBROOK CAMPUS,19333 W NORTH AVE,43.0593758960001,-88.1545194289999
ASCENSION SE WISCONSIN HOSPITAL - FRANKLIN CAMPUS,10101 SOUTH 27TH STREET,42.86001258,-87.954068104
ASCENSION SE WISCONSIN HOSPITAL - ST JOSEPH CAMPUS,5000 W CHAMBERS ST,43.074120253,-87.976073404
ASCENSION ST CLARES HOSPITAL,3400 MINISTRY PARKWAY,44.890182311,-89.580145988
ASCENSION ST FRANCIS HOSPITAL,3237 S 16TH ST,42.985657749,-87.9346572919999
ASCENSION ST MARYS HOSPITAL,2251 NORTH SHORE DR,45.639470413,-89.374826589
MIAMI VALLEY HOSPITAL,ONE WYOMING STREET,39.744893204,-84.185908608
ASCENSION ST MICHAELS HOSPITAL,900 ILLINOIS AVE,44.526431841,-89.5670962149999
ASPIRUS RIVERVIEW HSPTL ASSOC,410 DEWEY STREET,44.3817580300001,-89.829889438
ASPIRUS WAUSAU HOSPITAL,333 PINE RIDGE BLVD,44.9658418510001,-89.667890213
AURORA LAKELAND MEDICAL CENTER,W3985 CTY RD NN,42.6618950270001,-88.496191993
AURORA MEDICAL CTR WASHINGTON COUNTY,1032 E SUMNER ST,43.3184058430001,-88.362461562
AURORA MEDICAL CTR KENOSHA,10400 75TH ST,42.5693968150001,-87.9354650229999
AURORA MEDICAL CTR MANITOWOC COUNTY,5000 MEMORIAL DR,44.125367829,-87.619456133
MAJOR HOSPITAL,2451 INTELLIPLEX DRIVE,39.5603560000001,-85.785817
COVENANT CHILDREN'S HOSPITAL,4015 22ND PLACE,33.573403254,-101.900592032
PARKVIEW WABASH HOSPITAL,10 JOHN KISSINGER DRIVE,40.8209370000001,-85.823901
NEURO BEHAVIORAL HOSPITAL,9330 BROADWAY,41.448803072,-87.337260123
PERRY COUNTY MEMORIAL HOSPITAL,8885 SR 237,37.9679310000001,-86.731667
PROVIDENCE HOOD RIVER MEMORIAL HOSPITAL,810 12TH STREET,45.7048319680001,-121.52390863
RIVERSIDE MEDICAL CENTER,350 N WALL ST,41.125086857,-87.8818988909999
BLUE MOUNTAIN HOSPITAL,170 FORD ROAD,44.417112715,-118.959691481
VASSAR BROTHERS MEDICAL CENTER,45 READE PL,41.6938589390001,-73.9357861139999
ERIE COUNTY MEDICAL CENTER,462 GRIDER ST,42.9250771000001,-78.8311457679999
STRONG MEMORIAL HOSPITAL,601 ELMWOOD AVE,43.1228088730001,-77.624259428
NORTH SHORE UNIVERSITY HOSPITAL,300 COMMUNITY DR,40.7776359200001,-73.701610944
"NASSAU UNIVERSITY MEDICAL CENTER",2201 HEMPSTEAD TPKE,40.7262555130001,-73.553738015
SOUTH NASSAU COMMUNITIES HOSPITAL,1 HEALTHY WAY,40.6509979950001,-73.630839438
UNIVERSITY HOSPITAL SUNY HEALTH SCIENCE CENTER,750 E ADAMS ST,43.0418973170001,-76.139830463
